,Name, Group, MainNote1, MainNote2, MainNote3, Season, Time, Longevity, Sillage, Rate, Count
48,Colonia Quercia Acqua di Parma for men,Oriental Spicy,Bergamot,Oakmoss,Geranium,All Season,Day,long lasting,moderate,3.76,171
49,Colonia Sandalo Concentrée  Acqua di Parma for men,Woody Aromatic,Sandalwood,Cardamom,Orange,All Season,Day,moderate,heavy,4.19,46
50,Colonia Vaniglia Acqua di Parma for men,Oriental Floral,Vanilla,Musk,Jasmine Sambac,Fall/Winter,All Time,moderate,heavy,4.18,15
51,Note di Colonia I Acqua di Parma for women and men,Chypre Floral,Bergamot,Violet,Neroli,All Season,Day,moderate,moderate,4.45,24
52,Note di Colonia II Acqua di Parma for women and men,Woody Aromatic,Cardamom,Grapefruit,Guaiac Wood,All Season,Day,long lasting,moderate,4.41,29
53,Note di Colonia III Acqua di Parma for women and men,Oriental,Myrhh,Olibanum,Labdanum,Fall/Winter,Night,very long lasting,heavy,4.73,30
54,Note di Colonia IV Acqua di Parma for women and men,Oriental Floral,Orange Blossom,Opoponax,Labdanum,Fall/Winter,All Time,long lasting,heavy,3.54,17
55,Agent Provocateur Agent Provocateur for women,Floral Woody Musk,Moroccan Rose,Musk,Indian Saffron,Fall/Winter,Night,long lasting,heavy,3.43,2178
56,Agent Provocateur Eau Emotionnelle Agent Provocateur for women,Floral Woody Musk,Musk,Coriander,Magnolia,All Season,Day,moderate,moderate,3.38,426
57,Agent Provocateur Lace Agent Provocateur for women,Floral Woody Musk,Wild Orchid,Amberwood,Orange Blossom,All Season,All Time,moderate,heavy,3.76,27
58,Agent Provocateur Maitresse Agent Provocateur for women,Oriental Floral,White Suede,Musk,Ylang-Ylang,Fall/Winter,Night,moderate,moderate,3.79,1224
59,Agent Provocateur Ménage à Trois Agent Provocateur for women,Floral Woody Musk,Moroccan Rose,Musk,Saffron,Fall/Winter,Night,moderate,heavy,4.38,24
60,Blue Silk Agent Provocateur for women,Oriental Floral,Tonka Bean,Mandarin Orange,Rose,All Season,All Time,moderate,moderate,2.5,4
61,Diamond Dust Edition Agent Provocateur for women,Floral Woody Musk,Moroccan Rose,Indian Saffron,Musk,Fall/Winter,Night,long lasting,heavy,4.22,104
62,Eau Provocateur Agent Provocateur for women,Floral,Myrhh,Red Berries,African Orange flower,All Season,All Time,long lasting,heavy,3.55,92
63,L'Agent Agent Provocateur for women,Oriental Floral,Incense,Myrhh,Patchouli,Fall/Winter,Night,long lasting,heavy,3.93,1147
64,L’Agent Eau Provocateur Agent Provocateur for women,Oriental Floral,Musk,Magnolia,Jasmine,Spring/Summer,Day,moderate,moderate,3.59,132
65,Maitresse Eau Provocateur Agent Provocateur for women,Floral,Granny Smith apple,iris,Mimosa,All Season,Day,moderate,moderate,3.76,92
66,Petale Noir Agent Provocateur for women,Oriental Floral,Magnolia,Leather,Hyacinth,All Season,All Time,long lasting,heavy,3.63,522
67,Strip Agent Provocateur for women,Floral Woody Musk,Amber,Geranium,Ylang-Ylang,Fall/Winter,Night,long lasting,moderate,3.82,372
68,Strip 2008 Agent Provocateur for women,Floral Woody Musk,Amber,Ylang-Ylang,Patchouli,All Season,Day,long lasting,heavy,4.64,27
69,Aphrodisiaque Agent Provocateur for women,Floral Fruity,Black locust  Honey,resins,Vanilla orchid,Fall/Winter,Night,moderate,heavy,2.36,21
70,Pure Aphrodisiaque Agent Provocateur for women,Floral Fruity,Pear,Orchid,Tuberose,All Season,All Time,moderate,heavy,3.58,47
71,Fatale Agent Provocateur for women,Oriental Floral,Chocolate,Vanilla orchid,Black Currant,Fall/Winter,All Time,moderate,heavy,3.65,424
72,Fatale Intense  Agent Provocateur for women,Oriental Floral,Licorice,Chili Pepper,Dewberry,Fall/Winter,Night,moderate,moderate,3.94,301
73,Fatale Pink Agent Provocateur for women,Oriental Floral,Yuzu,Pink Lotus,Whipped cream,Spring/Summer,Day,moderate,moderate,3.67,151
74,Al Fakhamah Al-Rehab for women,Floral Woody Musk,Sandalwood,Musk,Floral Notes,All Season,Night,very long lasting,heavy,4.0,4
75,Al Hanouf Al-Rehab for women,Floral Woody Musk,Taif Rose,Amber,Agarwood (Oud),Spring/Summer,Day,long lasting,heavy,3.97,35
76,Al Rehab Tower Al-Rehab for women and men,Oriental Floral,Rose,Floral Notes,Spicy Notes,All Season,All Time,very long lasting,heavy,5.0,2
77,Al Sharquiah Al-Rehab for women and men,Oriental Vanilla,Agarwood (Oud),Dates,Incense,Fall/Winter,All Time,long lasting,heavy,3.91,212
78,Alrehab Grapes Al-Rehab for women and men,Oriental,Musk,Mint,Grapes,Spring/Summer,Day,moderate,heavy,2.2,6
79,Anfas Al Oud Al-Rehab for women and men,Oriental Woody,Agarwood (Oud),Saffron,Nutmeg,Summer,Night,moderate,enormous,4.33,4
80,Arabisque Al-Rehab for women and men,Oriental,Agarwood (Oud),White Amber,Lime,All Season,All Time,long lasting,heavy,3.4,6
81,Arooq Al Oud Al-Rehab for women and men,Oriental,Agarwood (Oud),Sandalwood,Amber,All Season,Night,very long lasting,heavy,4.57,18
82,Aseel Al-Rehab for women,Oriental Vanilla,Agarwood (Oud),Red Rose,Saffron,All Season,All Time,long lasting,heavy,3.77,126
83,Avenue Al-Rehab for women and men,,Lemon,Patchouli,Musk,Spring/Summer,All Time,long lasting,heavy,3.93,62
84,Bahrain Pearl Al-Rehab for women,Floral,White Musk,Lemongrass,Jasmine,All Season,Day,long lasting,heavy,3.9,22
85,Balkis Al-Rehab for women and men,Oriental Floral,Floral Notes,Powdery Notes,Agarwood (Oud),Fall/Winter,All Time,long lasting,heavy,3.98,197
86,Distance Al-Rehab for women,Floral Fruity,Grapes,Floral Notes,White Musk,Summer,Day,moderate,heavy,3.67,10
87,Ebdaa Al Rehab Al-Rehab for women and men,Oriental,Floral Notes,Oriental notes,Woody Notes,Winter,Night,very long lasting,enormous,1.0,2
88,Hams Al Warood Al-Rehab for women,Oriental Floral,Hyacinth,Indian Mimosa,Musk,Spring,All Time,long lasting,heavy,5.0,7
89,Lailat Elomer  Al-Rehab for women,Oriental Floral,Agarwood (Oud),Rose,Incense,All Season,All Time,very long lasting,heavy,4.42,20
90,Luzane Al-Rehab for women,Floral Green,Lemongrass,Watery Notes,Rose,Spring/Summer,Day,moderate,moderate,3.26,25
91,Maram Al-Rehab for women,Oriental Floral,Cardamom,Sandalwood,Tuberose,Spring/Summer,Day,very long lasting,enormous,3.6,5
92,Mubakhar Al-Rehab for women,Floral Woody Musk,Taif Rose,Incense,Amber,Spring/Summer,Day,long lasting,enormous,3.86,14
93,Musk Al Aroosah Al-Rehab for women,,Powdery Notes,Vanilla,White Musk,All Season,Day,long lasting,heavy,4.43,8
94,Musk Al Sheikh Al-Rehab for women and men,,White Musk,Powdery Notes,Floral Notes,All Season,Day,long lasting,heavy,3.75,5
95,Nadine Al-Rehab for women,Oriental Floral,Taif Rose,Citruses,Sandalwood,Spring/Summer,Day,moderate,heavy,4.17,33
96,Noria Al-Rehab for women and men,Oriental Vanilla,Almond,Sandalwood,Coconut,All Season,Day,long lasting,heavy,3.15,24
97,Of Course Al-Rehab for men,Floral Woody Musk,Rose,Musk,Amber,Spring/Summer,All Time,moderate,heavy,3.75,14
98,Oud Al Rehab Al-Rehab for women and men,Oriental,Agarwood (Oud),Musk,Spicy Notes,Fall/Winter,Night,long lasting,heavy,4.25,14
99,Pearls Attar Al-Rehab for women,Oriental Vanilla,Vanilla,Sandalwood,White Flowers,All Season,Day,long lasting,heavy,4.82,17
100,Rabea Elomer Al-Rehab for women and men,Oriental Floral,Freesia,Mimosa,Violet,Summer,Day,very long lasting,heavy,4.0,4
101,Rawan Al-Rehab for women and men,Floral Woody Musk,Vanilla,Almond,Passionfruit,Fall/Winter,All Time,moderate,heavy,3.81,37
102,Rihanat Al-Rehab for women and men,Floral Fruity,Pineapple,Orange,Mandarin Orange,All Season,Day,long lasting,heavy,3.0,6
103,Saat Safa Al-Rehab for women and men,Oriental Woody,Agarwood (Oud),Moss,Rose,Fall/Winter,Night,long lasting,heavy,3.74,198
104,Sabaya Al-Rehab for women,Floral,Citruses,Rose,Green Notes,Spring/Summer,Day,long lasting,moderate,4.28,69
105,Sagaya Allail Al-Rehab for women and men,Oriental,Floral Notes,Woody Notes,Oriental notes,Winter,Night,long lasting,enormous,4.0,2
106,Shaikhah Al-Rehab for women and men,Oriental Floral,Agarwood (Oud),resins,Rose,Fall/Winter,Night,long lasting,heavy,3.83,112
107,Shams Al Rehab Al-Rehab for women and men,Oriental,Oriental notes,Woody Notes,Floral Notes,Fall,All Time,moderate,moderate,4.33,3
108,Sultana Al-Rehab for women,Oriental Floral,Agarwood (Oud),Taif Rose,Amber,Fall/Winter,Night,moderate,heavy,4.15,34
109,Tajal Aroosah Al-Rehab for women,Oriental Floral,Melon,Raspberry,Vanilla,Spring/Summer,Day,very long lasting,moderate,3.5,6
110,Zahrat Hawai Al-Rehab for women and men,Floral Fruity,Pineapple,Piña Colada,Citruses,Spring/Summer,Day,moderate,moderate,3.88,68
111,Africana Al-Rehab for women and men,,Green Mandarin,Pink Pepper,iris,All Season,Day,long lasting,heavy,3.23,61
112,Al Fares Al-Rehab for men,Woody Aromatic,Herbal Notes,Spicy Notes,Musk,Spring/Summer,Day,long lasting,heavy,3.91,72
113,Al Nourus Al-Rehab for women,Floral Fruity,Mango,Peach,Melon,Spring/Summer,Day,moderate,heavy,3.74,41
114,Al Shariga Al-Rehab for women and men,Oriental Woody,Amber,Agarwood (Oud),Pepper,All Season,All Time,moderate,heavy,2.86,8
115,Aroosah Al-Rehab for women and men,Woody,Chamomile,Woody Notes,Herbal Notes,All Season,Day,long lasting,heavy,3.21,53
116,Bakhour Al-Rehab for women and men,Oriental,Floral Notes,Fruity Notes,Amber,All Season,Day,long lasting,heavy,3.41,126
117,Champion Black Al-Rehab for men,Woody Floral Musk,Moss,White Musk,Patchouli,Spring/Summer,Day,long lasting,heavy,3.88,47
118,Cherry Flower Al-Rehab for women and men,Floral Green,Cherry Blossom,Water Lily,White Musk,Spring/Summer,Day,moderate,heavy,3.91,62
119,Choco Musk Al-Rehab for women and men,Oriental Vanilla,Milk Chocolate,Vanilla,White Musk,Fall/Winter,All Time,long lasting,heavy,4.25,789
120,Crystal Al-Rehab for women and men,,Woody Notes,Spicy Notes,Floral Notes,Fall/Winter,Night,long lasting,heavy,3.75,86
121,Dakar Al-Rehab for men,Woody Aromatic,Moss,Sage,Cedar,Fall/Winter,All Time,long lasting,heavy,4.05,144
122,Dalal Al-Rehab for women and men,,Caramel,Orange,Vanilla,All Season,Day,moderate,moderate,4.08,359
123,Dehn Al Oud Al-Rehab for women and men,Oriental,Agarwood (Oud),Woody Notes,Honey,Fall/Winter,Night,moderate,moderate,3.65,87
124,Elena Al-Rehab for women,Floral Fruity,Litchi,Peach,Floral Notes,All Season,Day,moderate,heavy,3.73,60
125,Fantastic Al-Rehab for women,Floral,Vanilla,Fruity Notes,Tuberose,All Season,Day,long lasting,moderate,4.09,51
126,Fruit Al-Rehab for women,,Banana,Pineapple,Kiwi,Spring/Summer,Day,moderate,heavy,3.63,36
127,Full Al-Rehab for women and men,Oriental Floral,Jasmine,Saffron,Amber,Spring/Summer,Day,moderate,heavy,4.1,234
128,Golden Al-Rehab for women and men,,Amber,Floral Notes,Vanilla,Fall/Winter,Night,long lasting,heavy,3.52,104
129,Golden Sand Al-Rehab for women and men,,Caramel,Vanilla,Amber,Fall/Winter,All Time,moderate,heavy,4.26,188
130,Karina Rose Al-Rehab for women and men,Oriental Floral,Rose,Saffron,Amber,All Season,Day,moderate,heavy,3.83,22
131,Lord Al-Rehab for men,,Patchouli,Spicy Notes,resins,All Season,All Time,long lasting,heavy,3.65,76
132,Lovely Al-Rehab for women and men,Floral Green,Citruses,Floral Notes,White Musk,Spring/Summer,Day,moderate,moderate,3.92,117
133,Mokhalat Al Rehab Al-Rehab for women and men,Oriental Floral,Floral Notes,Agarwood (Oud),Amber,All Season,All Time,long lasting,heavy,2.69,47
134,Mokhalat Dubai Al-Rehab for women and men,,Spicy Notes,Woody Notes,Herbal Notes,All Season,All Time,very long lasting,heavy,3.53,39
135,Musk Al Ghazal Al-Rehab for women and men,Oriental,Black Musk,Geranium,Ambrette (Musk Mallow),All Season,Night,long lasting,moderate,2.89,33
136,Nebras Al-Rehab for women and men,Floral Green,Floral Notes,Citruses,Lemon,All Season,Day,long lasting,heavy,3.86,384
137,Oudy Al-Rehab for women and men,Oriental Woody,Agarwood (Oud),Tobacco,White Musk,Fall/Winter,Night,moderate,heavy,4.0,60
138,Randa Al-Rehab for women,Oriental Floral,Amber,Rose,Jasmine,Fall/Winter,Night,long lasting,heavy,3.68,60
139,Rasha Al-Rehab for women,Oriental Floral,Jasmine,Amber,Rose,Fall/Winter,Night,long lasting,heavy,3.89,151
140,Romantic Al-Rehab for men,,Mint,Rose,Bergamot,Spring/Summer,Day,moderate,moderate,3.8,6
141,Soft Al-Rehab for women and men,,Caramel,Citruses,Vanilla,Fall/Winter,Day,long lasting,heavy,4.02,478
142,Sultan Al-Rehab for men,Woody Spicy,Juniper,Cedar,Musk,Spring/Summer,Day,long lasting,heavy,4.01,265
143,Sultan Al Oud Al-Rehab for women and men,Oriental,Agarwood (Oud),Woody Notes,Spicy Notes,Fall/Winter,Night,long lasting,moderate,4.3,153
144,Superman Al-Rehab for men,Oriental Spicy,Ginger,Black Pepper,Myrrh,Fall/Winter,All Time,long lasting,heavy,3.64,115
145,Susan Al-Rehab for women,Oriental Floral,Exotic floral notes,Exotic Fruits,Oriental notes,All Season,Day,moderate,heavy,4.0,99
146,Tooty Musk Al-Rehab for women,Floral Fruity,Raspberry,Blackberry,White Musk,Spring/Summer,Day,moderate,moderate,3.45,85
147,Zidan Al-Rehab for men,,Rhubarb,Mandarin Orange,Coriander,Spring/Summer,Day,long lasting,heavy,4.08,58
148,Classic Al-Rehab for women and men,Woody Floral Musk,Amber,Powdery Notes,Floral Notes,Spring/Summer,All Time,long lasting,heavy,3.91,68
149,Delightful Al-Rehab for women,Floral,Sugar,vanilla orchid,Mandarin Orange,All Season,Day,moderate,moderate,3.34,34
150,Diamond Al-Rehab for women and men,,Citruses,Floral Notes,Amber,All Season,Day,moderate,moderate,4.09,11
151,Khaliji Al-Rehab for women and men,Citrus,Lemongrass,Spicy Notes,Citruses,Spring/Summer,Day,moderate,moderate,3.86,141
152,Sandra Al-Rehab for women,Oriental Floral,Fruity Notes,Vanilla,Floral Notes,All Season,All Time,moderate,heavy,4.0,109
153,Secret Lady Al-Rehab for women,Oriental Floral,Floral Notes,Vanilla,Oriental notes,Spring/Summer,Day,long lasting,moderate,4.23,13
154,Secret Man Al-Rehab for men,Woody Aromatic,Green Notes,Citruses,Woody Notes,Spring/Summer,Day,long lasting,heavy,3.88,58
155,Silver Al-Rehab for women and men,Woody Floral Musk,Citruses,Watery Notes,Green Notes,Spring/Summer,Day,moderate,moderate,3.82,776
156,Afrah Amouage for women and men,Oriental Woody,Champaca,Agarwood (Oud),Amber,All Season,Day,moderate,heavy,4.63,20
157,Ajwad Amouage for women and men,Oriental,Taif Rose,Agarwood (Oud),Ambergris,All Season,Day,long lasting,moderate,3.5,7
158,Al Andalus Amouage for women,Chypre Floral,Clary Sage,Rosemary,Amalfi Lemon,Spring/Summer,Day,moderate,heavy,4.44,18
159,Al Mas Amouage for women and men,Oriental Fougere,Saffron,Agarwood (Oud),Rose,All Season,All Time,long lasting,heavy,4.52,35
160,Al Shomoukh Amouage for women,Oriental Floral,Agarwood (Oud),Taif Rose,Vetiver,Fall/Winter,Night,long lasting,heavy,4.22,20
161,Amber Amouage for women and men,Oriental,Ambergris,Sandalwood,Musk,All Season,All Time,very long lasting,heavy,4.44,18
162,Amouage Epic Man Amouage for men,Oriental Woody,Agarwood (Oud),Incense,Pink Pepper,Fall/Winter,Night,long lasting,heavy,4.13,1103
163,Amouage Epic Woman Amouage for women,Oriental Floral,Caraway,Rose,Incense,Fall/Winter,All Time,long lasting,heavy,4.1,837
164,Amouage Gold pour Femme Amouage for women,Floral Aldehyde,Rose,Civet,Lily-of-the-Valley,Fall/Winter,Night,long lasting,heavy,4.0,608
165,Amouage Gold pour Homme Amouage for men,Woody Floral Musk,Civet,Rose Hip,Musk,Fall/Winter,Night,long lasting,heavy,3.32,536
166,Amouage Homage Amouage for women and men,Oriental Floral,Taif Rose,Incense,Lemon,All Season,All Time,long lasting,heavy,4.49,167
167,Amouage Lyric Man Amouage for men,Oriental Spicy,Rose,Lime,Incense,All Season,All Time,long lasting,heavy,4.08,1123
168,Amouage Lyric Woman Amouage for women,Oriental Floral,Rose,Incense,Sandalwood,Fall/Winter,Night,long lasting,heavy,4.3,947
169,Arcus Amouage for men,Citrus Aromatic,Basil,Teak Wood,Lime,Spring/Summer,All Time,long lasting,heavy,3.33,31
170,Asrar Amouage for women and men,Oriental Spicy,Saffron,Agarwood (Oud),Sandalwood,All Season,All Time,long lasting,heavy,4.44,53
171,Ayoon Al Maha Amouage for women,Oriental Floral,Rose,Sandalwood,Agarwood (Oud),Fall/Winter,All Time,long lasting,heavy,4.52,31
172,Badr Al Badour Amouage for women and men,Oriental Woody,Agarwood (Oud),Rose,Amber,All Season,All Time,long lasting,moderate,4.41,32
173,Bahjah Amouage for women and men,Oriental,Lime,Woodsy Notes,oak moss,Spring/Summer,All Time,long lasting,moderate,4.24,17
174,Basmah Amouage for women and men,Oriental,French labdanum,Amber,Rose,All Season,Day,very long lasting,heavy,4.33,14
175,Beach Hut Man Amouage for men,Woody Aromatic,Mint,Ivy,Vetiver,Spring/Summer,Day,long lasting,heavy,4.11,258
176,Beach Hut Woman Amouage for women,Woody Aquatic,Driftwood,Patchouli,Cashmeran,All Season,Day,moderate,heavy,3.69,56
177,Beloved Amouage for women,Floral,Immortelle,Civet,Chamomile,Fall/Winter,All Time,long lasting,heavy,3.99,351
178,Beloved Man Amouage for men,Oriental Woody,elemi,Grapefruit,Cedar,All Season,Day,long lasting,heavy,4.13,373
179,Bracken Man Amouage for men,Aromatic Fougere,Cloves,Cypress,Patchouli,All Season,Day,long lasting,heavy,3.91,293
180,Bracken Woman Amouage for women,,Fern,Chamomile,Wild berries,Spring/Summer,Day,long lasting,heavy,3.48,201
181,Ciel Pour Femme Amouage for women,Floral,Water Lily,Cyclamen,Gardenia,Spring/Summer,Day,moderate,moderate,3.87,385
182,Ciel Pour Homme Amouage for men,Aromatic Spicy,Lavender,Peach,Nutmeg,Spring/Summer,Day,moderate,heavy,3.95,333
183,Dia pour Femme Amouage for women,Floral,Aldehydes,Peony,Turkish Rose Oil,All Season,Day,long lasting,heavy,4.15,681
184,Dia pour Homme Amouage for men,Woody Floral Musk,Peony,Vetiver,Plum,All Season,Day,moderate,moderate,4.23,583
185,Eau d'Amouage Amouage for women,Oriental Floral,Mango,Peony,Vetiver,All Season,Night,very long lasting,heavy,4.03,38
186,Esprit d'Amouage Amouage for women,Oriental Floral,Bay Leaf,Red Berries,Apricot,All Season,All Time,moderate,heavy,4.24,19
187,Fate for Men Amouage for men,Oriental Spicy,Cumin,Immortelle,Incense,Fall/Winter,Night,long lasting,heavy,3.4,442
188,Fate for Women Amouage for women,Chypre Floral,Incense,Cinnamon,Benzoin,Fall/Winter,All Time,long lasting,heavy,4.06,583
189,Honour Man Amouage for men,Woody Spicy,Pink Pepper,Pepper,Incense,All Season,Day,long lasting,heavy,3.91,493
190,Honour Woman Amouage for women,Oriental Floral,Gardenia,Tuberose,Jasmine,Spring/Summer,Day,long lasting,moderate,4.07,741
191,Imitation For Man Amouage for men,Leather,Orris,Turkish Rose,Violet,All Season,All Time,long lasting,heavy,3.82,100
192,Imitation for Woman Amouage for women,Chypre Floral,Black Currant,Aldehydes,Incense,Spring/Summer,All Time,long lasting,heavy,3.24,61
193,Interlude Man Amouage for men,Oriental Woody,Incense,Opoponax,Amber,Fall/Winter,Night,long lasting,heavy,4.19,1828
194,Interlude Woman Amouage for women,Chypre Floral,Incense,Walnut,Immortelle,Fall/Winter,All Time,long lasting,heavy,3.78,558
